"","control1","control2","control3","control4","case1","case2","case3"
"UBE3A",6.85814207959205,7.53216729703798,7.30111792904979,7.15861658154114,5.69640144721273,6.10765903676648,6.43326254957472
"UVRAG",7.21772996433321,7.06112064937894,6.9005444512789,7.27713528094331,5.30421400330623,5.70942091366813,5.54788963362551
"EZR",10.0988428239177,9.76649590162789,9.17866523835593,9.20805567518369,8.54216377448495,9.21337109569335,7.74604310080518
"VRK1",6.64658852974993,7.13898420703054,6.8564744368377,6.87581589060782,4.82205883441295,5.45085291605165,5.36577080978103
"WIPF1",7.05267247848284,7.78431749273658,7.46262223441975,7.3580175877623,5.51514389340851,5.75651510488785,5.72460942068406
"XPO1",10.1974330494881,10.5610397011175,10.546503219122,10.2899598243371,8.73125725938358,9.10391907270234,9.13244646442044
"LDLRAD4",4.54574421282881,4.85787504948358,4.44817296750253,4.44071776457511,3.58636372558602,3.37429990500115,3.55918904439981
"ZNF12",6.71041484821715,7.04953856630382,7.18842964188119,6.87471989937504,7.82305829482273,8.03487057322041,8.29730339845847
"ZNF23",5.07841821921967,5.00070343780485,4.69976629126512,4.8723654359211,6.09796319411049,5.76562925931409,6.74180206451506
"ZNF24",7.91388144455436,7.81183951847884,7.89801959255041,8.04914189135174,8.97649959229434,9.2625143037699,9.70321055944282
"ZKSCAN1",6.38837489884511,6.50459291796022,6.21786402757414,6.43255642617309,7.2125641784876,7.35249330974363,7.73411105749417
"ZNF222",5.70875690260018,5.89104845613869,5.7548865926611,5.9135161764245,7.07858622856915,6.9247988826782,6.93574625290719
"RNF113A",8.21480399480822,8.46655808869408,8.25128724910002,8.34721188936801,9.59737615235973,9.43974124533001,9.49927722946211
"ZMYM2",6.94452955541551,7.38049357338617,7.51395228386208,7.08421694376432,4.89277668978156,5.75236524877856,6.31323406434213
"SLC30A1",9.00069695199872,9.33510675285313,9.44910667890495,9.54553282107448,10.3772105183997,10.5452700687321,10.6446235308287
"PTP4A1",10.7840576176895,11.252349526752,10.9044127743904,11.3268748534123,9.20691160254378,9.57706743736659,9.81535380925462
"USP7",7.77090142539253,8.06372903732619,8.25991672798656,8.20238721655443,6.62749501627159,6.92368328352101,7.39349527801197
"PCYOX1L",6.39822244390679,6.98674486868414,6.66091645778867,6.62683284519684,7.92910734161146,7.44762702532583,7.90165347595474
"AUNIP",7.23376654941797,7.70655374669873,8.01013477206305,7.63545435555014,8.42737900407049,8.65285411690615,8.93370282378378
"MIS12",7.36244056663469,8.12431373976172,7.50795373031293,7.51995491013712,8.57281417079695,8.65270858394231,8.93275432805611
"NUP37",8.78493190423934,9.31830688764331,9.01730290470413,8.77903674945616,7.66446125472069,7.9709855392166,8.04319177093459
"ELOVL6",6.97852344763715,7.45919665067772,7.62501539081634,7.38878182346676,5.80904158796033,6.20258225436981,6.3836752478377
"ZNF426",5.49998888965462,5.69747926862234,5.50678046321038,5.41356025293223,6.70866727911632,6.36078460378541,6.80744964718028
"DEK",9.39809028869814,10.2694331999913,9.97059085344575,9.7812933742085,8.52826862551339,8.9456390270698,8.63275557778632
"CHCHD7",6.75347886202727,7.16746516017767,6.91271326984429,6.80490588848648,8.37406848821412,8.24637680118561,8.5271430857104
"HAUS3",6.28682971805272,6.65160288653864,6.69316870437596,6.38538464373578,7.55487441370023,7.83435997053209,8.33581175039116
"GCC1",7.89017594906484,7.8321353436606,7.80369010965193,7.50109622587924,8.82834529379532,8.68551040662294,9.03865793012045
"CDC73",7.57706245376431,8.20870039679654,7.84780313560757,7.50996888085488,5.81701320257629,6.19091539944479,6.14417711409645
"PLEKHF2",5.85460045791784,6.21029876520008,6.47479282248157,5.97469546213759,7.11080158261623,7.07782640634241,7.41345930484385
"YRDC",7.59225849593201,7.81365341336819,7.51174665318131,7.46265611205698,8.55449785414418,8.67767688950019,9.07134391344835
"TBL1XR1",6.57434624064919,6.86290144542972,5.96637277748563,6.16855570831555,4.55765149563284,4.87477466034855,4.99177126979054
"ZC3H14",7.38304844578002,7.84410521060892,7.90424769682009,7.51561870215249,5.85294291299137,6.83245803723177,6.82414445991213
"LPCAT1",10.2009967501802,10.1699228397956,10.4151119467699,10.489640309966,9.23514758653834,9.06666207987853,9.5347555227559
"NUP85",9.63156161772307,9.64059118790558,9.65463836600584,9.83603658636608,8.23708053089824,8.60391002177117,8.73645311482625
"NAA15",9.06095466192675,8.7425968866026,9.02504907109365,8.61700880081113,6.89353904454741,8.4136040613379,8.16773859802302
"FBXO11",5.71986131907688,6.38577105423217,5.9117146832032,5.35846311531525,4.40790215279125,4.61031237425526,4.73211614219399
"CHD9",7.91643278884635,8.1883895002712,7.88084163834775,7.93522056916309,5.89156170208495,6.58095612349664,6.53556634592481
"WDR26",9.27549659592644,9.4140194284329,9.34367505927589,9.39619780638835,7.91817431344246,8.50754577661931,8.43764824025576
"GRPEL1",8.12810615265741,8.42669565746459,7.99135421389437,8.11743932495216,9.11904806083848,9.01411758761664,9.4996638336238
"CCDC6",7.60361129955609,7.34424582205218,6.65750195260389,6.63199397773851,5.91100092469381,6.30483900084385,5.71776046028121
"WDCP",6.93382224249054,6.67857747830361,6.49040429108501,6.7453823159438,7.54132954156112,7.67698780169067,8.11269157968421
"TNKS2",7.59093327897863,8.27073505821173,7.53900423969429,7.40939458513567,6.59432072446288,6.64544745452443,6.80617153645519
"SHOC2",8.46183723069743,8.52457757189888,8.52429016567028,8.64191154718353,6.64598297291749,7.11759996885683,7.75799521208278
"PDHX",8.81050835766966,9.18122511224553,9.09063546350436,8.97689758136216,7.59614769447858,8.02738054662498,7.92702880185407
"FOSL1",6.89170608501852,6.44071292406596,6.97016437012675,6.93893898426422,7.9064861705835,8.19058368777932,8.29409460355076
"CUL5",6.8279475266132,7.14784368234483,7.11171032773027,7.16888217748942,5.45252493990295,6.25665908303398,6.10421983688004
"TSEN2",6.85256080836861,7.17087004540115,6.92796738138979,7.35587261928601,5.83571300673584,5.79728131013525,6.30240881755803
"TMEM177",6.41611751808834,6.66465695542945,6.6589755632386,6.83524934504333,8.01073934196521,7.65572642921112,8.14906478167117
"FXR1",7.20925910490156,7.50514293450072,7.54985045042945,7.62252998137456,5.5624550474027,6.24005123808893,6.54678969044513
"SLC25A32",7.75103194981391,8.03806035288834,8.14263841829432,8.17749299407994,6.34318796329987,7.10432962187082,7.11977192301267
"PABPN1",6.82506929215535,6.83869744771309,7.14932689432426,7.04482860990325,8.25568098844467,7.96166560173562,8.87206617428961
"SYNC",6.540296857709,6.2551212276066,6.20785955444671,5.8344078906096,4.66244032016756,5.26804316055126,5.39561417470733
"SLC38A1",10.9403261330771,10.6183803248869,11.0041621752931,10.7115436959472,9.29774393494716,9.9585636909269,9.91317546665444
"CSRNP2",6.51949506090384,6.64833986329423,6.66932148444243,6.66450978483618,7.44795535743412,7.88733906108329,8.13854773954308
"KIF18A",7.29443762431862,7.46132236069186,7.06262606598797,7.17961590582182,5.93147105365391,6.07584523415036,6.22633175088901
"USP9X",7.87129847890689,8.32353781063278,7.75281082394768,7.74314765733001,6.18453450127182,6.63275063630951,6.51950185984864
"TRRAP",7.87685383732511,7.80695049693853,7.64789306802828,7.90215185165607,6.74212508098177,6.76289089794914,6.36354134646892
"PICALM",9.17417580715106,8.92916020389156,8.06927551169944,7.65510697315262,7.21732191331067,7.89281431582374,6.96543904043926
"FZD1",6.97433091004311,6.52899882696722,6.40786089687463,6.53364602044319,7.92443039817852,7.9812496462832,8.01071765819315
"FZD7",5.0570720365109,5.32542334538002,5.05300232644232,5.26729499110917,7.16868527709281,6.86398757389033,7.30995514325305
"HIST2H2BE",7.14163712270898,6.71379854535238,6.20120919028164,6.4514558708279,8.8761913616395,8.1967001489331,8.68836841106283
"HIST1H3B",4.8824716467223,4.68160808519305,4.79025112732413,4.75805120520688,6.19848734814235,6.45732858704297,6.33111006855817
"C11orf68",8.65197211941695,8.54424617196809,8.69947851467296,8.56726184886917,9.85646550618961,9.91208281191841,9.91510267262799
"MAD1L1",7.30870185190921,7.11293193573725,7.04200816714146,7.3767276010585,5.23468848393652,5.82414907056553,5.41894355051481
"ANKRD27",6.66569777297635,7.01579632809807,7.4640020598742,7.11990185395726,5.5303427124416,6.34495412395674,6.28044291922582
"STK24",10.3758400958036,10.6123604558228,10.3165932026069,10.282677739227,8.72069332505732,9.24244330078828,9.19854597799056
"DHX16",8.63197731179876,8.58854539049492,8.74520415019757,8.95003320440314,7.33329659042323,7.78012295208071,7.77508989065972
"CUL3",9.36067879660297,9.54629105525548,9.72324033987967,9.65805495987862,7.8193212662082,8.56984024301866,8.61504865621896
"CUL1",8.36200585046748,8.30868402310396,8.47080647155877,8.54841488624783,6.67027430351684,7.36722588083004,7.03736082840298
"TPST1",7.83057573925368,8.52164538416896,8.07334629707108,8.07334629707108,7.08226623287221,6.95313316591011,6.86808424124681
"KLF11",6.39012999488726,6.65098322428799,6.61205591627324,6.39374229850639,7.57961513614544,7.46705376063057,7.70919265470516
"UNC119B",7.91116296203912,7.97807874695462,8.15000637803764,8.05948502634178,8.89600302453696,9.0760567310663,9.49997697343714
"ADO",6.90838365923026,7.5922816910555,7.17056652336414,7.29062908439795,9.08159382847161,8.98273308005435,9.10886531560513
"MAP4K3",4.18604536715811,4.94319251975974,4.61354388324695,4.46531934035595,3.07742205763009,3.66335605226945,3.73771843086929
"MFSD5",8.21266780416901,8.30954611287276,8.08363926688693,8.05921609120307,9.60540615639396,9.2897219177434,9.78361704972177
"PPFIA1",8.48148838146654,9.00278378749253,8.55135681988989,8.39200879144545,6.735400651722,7.10277886341961,7.38101672769379
"PKP4",7.32286618331786,7.55404807083039,7.69682897142287,7.8887801899475,5.68361867439164,6.50474126699365,6.3300903195696
"PEX3",8.23259233875131,8.26276083311243,7.90099954728177,7.9663287046887,6.73351438830908,7.3760878059898,6.95289254724459
"ENC1",7.577762057782,7.62674134942082,7.77128327797483,7.31872213709441,9.05628584090327,8.99482559864423,8.94055061256956
"DGKD",10.0318886326015,9.83714594302044,10.1315838140094,10.2868676872904,8.95320746521709,9.19449674852264,8.98964385489308
"AGPS",9.61389481597407,9.65088775352086,8.8193769772462,8.82877031175955,8.11194106809184,8.46148740358389,7.81352250068843
"LGR5",6.35937744392653,6.10927861052429,7.07721326602954,6.33286857643242,4.71000378038974,5.18351054477639,5.19515491604591
"SLC25A12",8.059735540312,7.8678616227599,7.91522677738901,8.36258871092004,6.49668883602334,6.7955004376271,6.68775657106017
"STC2",7.28096686286224,7.27993103555292,7.56689590901111,7.71184935214661,9.15838723556342,9.32726074093192,9.2713093790521
"PDE8B",8.61147971077666,8.40785953907577,8.61459477665755,8.84690539758783,6.73362517636196,7.09586629225128,6.96679892751499
"CBFB",9.5830080302868,9.96261935767933,9.90672237414216,9.98264309722819,8.43159492467098,8.7453408212825,8.69361508282704
"CBLB",6.81915237318592,6.79690048140185,6.62954372421815,6.81279391927145,5.10007729984214,5.39783472563834,5.38240904762128
"PEA15",8.69194669097279,8.56564400003629,9.15190827628511,8.66672769927484,9.76370097186628,9.84471460507438,10.053347412881
"RNGTT",7.28587842817689,7.25336843502798,6.86871624382296,7.04024057884051,6.10433751545782,5.97068290139837,5.67572030037032
