"","control1","control2","control3","control4","case1","case2","case3"
"202683_s_at",7.26585456998504,7.2759794060312,7.17523638860548,7.27356044137455,7.44514554915918,7.64479997392136,7.7354142067983
"202684_s_at",4.30300653037178,4.30383215540399,4.19067517546872,4.03530781293345,3.89860904111643,4.02435299085506,4.10658950560807
"202685_s_at",8.52605791528349,8.14957016923203,8.33205919404157,8.2465603636372,8.41333772371477,8.38877791566013,8.15988625847205
"202686_s_at",10.1051713912069,9.79691891624343,10.2469169107277,10.0638343734412,9.96818550815074,10.1433851292413,10.2253130093218
"202687_s_at",4.26153447150664,4.11223343745292,4.11223343745292,3.98016452863867,4.3726261016824,3.94252664555475,4.02275378996343
"202688_at",3.93812974690429,4.06628224318537,3.78430335981077,4.09661312269256,4.17995924654013,3.99545267673685,3.7778837873634
"202689_at",8.39370333294752,8.18818974229275,8.58461233037101,8.65723767302275,8.58461233037101,8.69808157861009,8.83363374268207
"202690_s_at",9.47460768828891,9.86065444083208,9.894054455652,9.70981174007981,8.3316594830347,8.71439561715405,9.0345288774626
"202691_at",8.60642305891493,8.69847819290716,8.44402804335407,8.71326696220553,7.9070731917049,8.2036350172356,8.17468355629754
"202692_s_at",7.53133746625801,7.32351587872376,7.77413099487747,7.77164613758829,7.36346458350321,7.40495781416028,7.418807710167
"202693_s_at",7.80391016010841,8.38634358531323,8.05671573810871,7.74882902286993,7.9438605811098,8.09946040359411,8.19954917837583
"202694_at",4.6498683845691,4.89281964508255,4.89281964508255,4.89281964508255,4.93292262250257,4.85649252676332,5.05172874220553
"202695_s_at",7.25946881390144,7.1951609664122,7.1535400599159,6.83170321735992,6.90514230614659,7.1171295383363,6.91998809902929
"202696_at",9.33033084243665,9.49285937844483,9.42794008803346,9.41382752033507,8.23517315776886,8.90977912914411,8.84639443196804
"202697_at",8.59083377617812,8.88728443494588,8.42364438435823,8.62681403986319,8.15468107199158,8.81310645390943,8.00504328451024
"202698_x_at",11.5447959120873,11.5823678605107,11.5845224091276,11.5169288082957,11.6974475691655,11.6586846363751,11.6537240501693
"202699_s_at",7.04802814315764,6.63623336539433,6.54948899050662,6.81030271666223,7.05258729305974,6.58460127361051,6.80617921860195
"202700_s_at",6.37356300059842,6.44543584962259,6.56083796922035,6.88705471850432,6.56083796922035,6.86394000672144,6.38556130015224
"202701_at",8.10700069078244,7.85724447521041,8.10700069078244,8.07560172128239,8.22948919898362,8.14598418081369,8.14239517861721
"202702_at",7.64044280859582,7.87766525601846,7.67291648956526,7.59330038078169,8.26669319760111,8.09160245949944,8.14551094205258
"202703_at",8.03347002084868,8.13717149417906,8.07216134710747,8.12756479069612,8.06189583913732,8.21030648973991,8.24681557952417
"202704_at",9.13111172179672,9.41468188179893,9.01977886512022,9.24609771652704,9.52474572992595,9.58664271834022,9.94081928327331
"202705_at",10.1690915298874,10.2216493484847,10.3824535839404,10.3382909600712,9.40357352897514,9.78584518287858,9.48490958867791
"202706_s_at",9.12808894632541,8.94765362133248,9.13861646501051,9.09459644222954,8.97173260696589,9.21704389555743,9.50948347291377
"202707_at",6.38676214280287,6.24810933088969,6.2539068834942,6.2539068834942,6.32291837483982,6.14810683562484,6.2539068834942
"202708_s_at",7.14163712270898,6.71379854535238,6.20120919028164,6.4514558708279,8.8761913616395,8.1967001489331,8.68836841106283
"202709_at",6.92901708783743,6.70373294190163,6.98845837438096,6.98845837438096,7.42399318766019,7.18225065301286,6.94562878201067
"202710_at",8.13353854218126,8.54520349479464,7.95177751050025,8.25918491014261,7.6255032601493,8.03724140851394,8.05399935741302
"202711_at",6.4343187314659,6.15383761646968,6.50772788685143,6.50772788685143,6.65548761292273,6.63346137969776,6.67259630405824
"202712_s_at",7.22082645998784,6.97663614522518,6.85922238396368,6.788763266496,7.22813773683894,6.97663614522518,6.65645416259667
"202713_s_at",8.84396415253575,9.04003936998212,9.03919858743839,9.26054331040064,8.38685448051498,8.65643681352769,8.4778930090467
"202714_s_at",6.54384136307493,6.17588214929927,6.16920080989178,6.02037087033212,6.17588214929927,6.17588214929927,6.02878942388919
"202715_at",8.99301168313209,8.83009949081999,9.10810653253522,9.46312197031652,8.7904370391329,8.9518211663028,8.8819908105307
"202716_at",8.08827955642669,7.68607483865969,8.16242818766594,7.94211220712164,7.55084182053277,7.47235606439193,7.78413050136024
"202717_s_at",8.33709930353093,8.20097130735073,8.25028215817857,8.2245457167529,7.63895196887016,7.88783900733059,8.04650966978286
"202718_at",5.64710182660987,5.09644599614331,5.26877502821395,5.26877502821395,5.50072441037462,5.26877502821395,5.23671935411077
"202719_s_at",9.15207130554817,8.93029720037016,8.8831496983887,8.56170078099695,8.07026855554481,8.50241829645515,8.14895789313271
"202720_at",8.90007169519211,9.36139533448173,9.03337991620324,8.73713135473774,8.22824184769992,8.44751716532757,8.47961225928828
"202721_s_at",8.03606408937595,8.09536726448311,7.42301178973631,7.75762817981649,7.24434413972362,7.55487441370023,7.28587842817689
"202722_s_at",8.26782010293712,8.76283952247933,8.00004871447231,8.01553159094352,6.99700551606251,7.5038907927045,7.18618581336741
"202723_s_at",6.34118955001595,5.99531635657302,6.1175199509412,6.16021197797642,6.13492589598534,6.29778486459053,6.09796319411049
"202724_s_at",5.57882377001098,5.54240071290528,5.59009054570894,5.48775252665688,5.57472830404844,5.40833622617084,5.44562398737003
"202725_at",8.58933574948747,8.36864449677867,8.37739392206692,8.46092469917293,8.46092469917293,8.46092469917293,9.04282012023986
"202726_at",7.87598784879427,7.86522381538098,7.79437920456134,7.77189265652693,7.86018212685154,7.84643692677503,7.99071629121328
"202727_s_at",7.76075369292997,8.42051079782599,8.17728154438768,7.92366219869324,8.5659518102821,8.70934734394234,8.75161747485082
"202728_s_at",7.86051991980602,7.36149551620692,7.26420479637986,7.42756129929776,7.42756129929776,7.59242110289179,7.47035151980518
"202729_s_at",7.66135056880694,7.66138277371597,7.46297048213047,7.3927596222848,7.48192684466899,7.34167996581728,7.46297048213047
"202730_s_at",8.49596076667479,8.36318801847288,7.99251311004562,7.89528764814069,7.73921210748922,7.46228629779555,7.59202728480877
