"","control1","control2","control3","control4","case1","case2","case3"
"203688_at",5.94775328201854,6.00909537376208,5.74256850639354,5.71472580443228,4.97497488857835,5.37419786897153,5.6449349978675
"210845_s_at",8.90397131793794,8.94399544999709,8.589383932256,8.31009876449004,9.13981727474909,8.88446182090087,9.1957625603398
"203895_at",5.58380761954151,5.91312632512204,6.3793572399006,5.74878976889468,5.43793257485894,5.50825267554466,5.07979099469603
"215723_s_at",5.34133629383691,4.86257938125076,4.55963363118077,4.67962320817392,4.2676567023906,4.27858151769958,4.07058128483139
"218256_s_at",7.37351114231228,8.12063321049675,8.10174388325515,7.40045926892811,7.14460072634489,7.51808988679022,7.54132954156112
"216971_s_at",9.36649723508546,7.71312192569675,8.77420831833992,8.94073817369448,7.59238818339008,8.25469830781392,6.87012372867134
"218763_at",7.99985331330963,8.1790063855797,8.49343261802553,8.43223335173189,7.54305788313929,7.17557662491461,7.22370284780708
"202240_at",9.63452245885146,8.82920649320708,9.39172246757724,9.62141086262663,7.88557379033059,8.13947905284275,7.98857656710927
"202446_s_at",7.19061558102553,7.21080938357898,6.98516483789393,6.86394000672144,6.47293628986152,6.62595894456486,6.7026894450879
"213030_s_at",7.32335367138745,6.77246296505482,6.4565129182991,6.54396952116041,6.24513776662174,6.27596824967865,5.82267044723295
"212032_s_at",8.83558081238045,8.33549276915351,8.8987834275679,9.23475497496413,8.8830223988692,8.8276255083552,9.15946070405688
"204286_s_at",6.95642568543978,7.22771286879486,6.6227267969772,6.36850964969943,8.79792109971699,8.85293388694214,9.21149220639366
"203201_at",8.79291269373169,8.46057905928278,8.47560586109604,8.63494611548124,7.22440758807016,7.62210246408633,7.59045826874928
"210139_s_at",10.6766253465012,10.3006674695482,10.0886856176564,10.367477343158,9.68280916018753,9.75224980333167,9.905475975396
"213677_s_at",7.33329659042323,7.86284047623843,7.45469352867776,7.74827463165582,6.51019170034645,6.79801227313498,6.99466471806041
"205198_s_at",5.29115289994136,5.32451861932233,5.02124298594608,5.37623845360219,4.62867371577347,4.78550115277228,4.58907580547391
"218472_s_at",8.83690831497398,8.74366138659089,8.75545698549699,9.07624793327532,9.98332983635598,10.202400946767,10.2751126621288
"205061_s_at",8.68917958515426,8.6850876176491,9.14254526711912,8.72446109351716,7.25699567423543,7.93297091322856,7.90205689677285
"207541_s_at",8.33836048135141,8.51864467888079,8.48974288467925,8.69498488496863,7.65396908678263,8.2332514577722,8.12549276348715
